Variable,Mean,Truncated Mean,Interquartile Mean,Midrange,Midhinge,Trimean,"Mean of 20th, 50th, and 80th percentiles",Winsorized Mean,1st Quartile,Median,3rd Quartile,Mode
exposition_days,101.14166666666667,74.83333333333333,58.75,337.5,76.125,60.8125,78.96666666666667,84.86666666666666,12.75,45.5,139.5,5.0
total_discount,0.8306333333333332,0.8324374999999998,0.8363626373626375,0.819,0.831,0.8354999999999999,0.8326666666666666,0.83135,0.822,0.84,0.84,0.84
price,4583404.083333333,4317069.25,4243660.466666667,7644075.0,4407656.25,4387618.125,4411700.0,4374290.4,3559500.0,4367580.0,5255812.5,4452000.0
unit_price,97251.77841666667,96412.21114583332,96035.43533333331,101842.82999999999,96395.55249999999,96076.91124999999,96692.86533333334,96762.80051666666,84979.6225,95758.26999999999,107811.4825,105000.0
rooms,1.8,1.8125,2.0103092783505154,2.5,2.0,2.0,2.0,1.75,1.0,2.0,3.0,2.0
square_total,48.289166666666674,47.10520833333334,47.59677419354839,60.95,46.4875,46.31875,46.223333333333336,47.548166666666674,32.975,46.15,60.0,60.0
square_living,29.175,28.265625,27.64,43.65,28.887500000000003,28.793750000000003,29.24666666666667,28.4125,17.825,28.700000000000003,39.95,20.0
square_kitchen,8.000833333333334,7.696874999999999,7.40625,13.0,7.65,7.575,7.8,7.802499999999999,6.0,7.5,9.3,6.0
ratio_liv_tot,0.5932333333333334,0.60009375,0.6019180327868854,0.5575,0.597125,0.5958125000000001,0.5971000000000001,0.595355,0.536,0.5945,0.65825,0.625
ratio_kit_tot,0.17055833333333334,0.16103125,0.15608333333333332,0.2595,0.1575,0.15775,0.16073333333333334,0.165745,0.11875,0.158,0.19625,0.122
floor,5.525,4.864583333333333,3.8815789473684212,9.0,4.5,4.25,5.0,5.291666666666667,2.0,4.0,7.0,3.0
floors,9.558333333333334,9.364583333333334,7.697368421052632,10.0,10.625,9.8125,10.333333333333334,9.591666666666667,5.0,9.0,16.25,5.0
age,31.966666666666665,29.15625,26.16176470588235,46.0,27.625,32.3125,32.333333333333336,30.045000000000005,8.0,37.0,47.25,8.0
