Variable,Minimum,Maximum,Sampling Variance,Sampling Std Deviation,Range,Interquartile Range,Skewness,Kurtosis,Gini Coefficient
exposition_days,3.00,672.00,17174.12,131.05,669.00,126.75,2.297,6.295,0.460
total_discount,0.80,0.84,0.00,0.01,0.04,0.02,-0.978,-0.176,0.006
price,2433750.00,12854400.00,2980306803769.47,1726356.51,10420650.00,1696312.50,2.071,5.870,0.128
unit_price,57551.64,146134.02,330617709.79,18182.90,88582.38,22831.86,0.426,0.080,0.076
rooms,0.00,5.00,1.29,1.13,5.00,2.00,0.052,-0.602,0.261
square_total,19.90,102.00,291.58,17.08,82.10,27.03,0.686,0.546,0.142
square_living,10.20,77.10,170.41,13.05,66.90,22.13,0.890,1.248,0.179
square_kitchen,1.00,25.00,14.35,3.79,24.00,3.30,1.279,3.382,0.169
ratio_liv_tot,0.25,0.87,0.01,0.11,0.62,0.12,-0.602,0.870,0.067
ratio_kit_tot,0.03,0.49,0.01,0.07,0.46,0.08,1.551,3.548,0.159
floor,1.00,17.00,18.82,4.34,16.00,5.00,1.210,0.543,0.311
floors,2.00,18.00,28.40,5.33,16.00,11.25,0.459,-1.439,0.243
age,2.00,90.00,654.03,25.57,88.00,39.25,0.599,-0.459,0.343
